[0.070s] Invoking command in '/home/rens/linorobot2_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/rens/linorobot2_ws/install/linorobot2_navigation:/home/rens/linorobot2_ws/install/linorobot2_description:/home/rens/linorobot2_ws/install/linorobot2_base:/home/rens/linorobot2_ws/install/linorobot2:/opt/ros/jazzy /usr/bin/cmake /home/rens/linorobot2_ws/src/micro_ros_setup -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/rens/linorobot2_ws/install/micro_ros_setup
[0.517s] -- The C compiler identification is GNU 13.3.0
[0.948s] -- The CXX compiler identification is GNU 13.3.0
[1.082s] -- Detecting C compiler ABI info
[1.820s] -- Detecting C compiler ABI info - done
[1.866s] -- Check for working C compiler: /usr/bin/cc - skipped
[1.867s] -- Detecting C compile features
[1.869s] -- Detecting C compile features - done
[1.956s] -- Detecting CXX compiler ABI info
[2.858s] -- Detecting CXX compiler ABI info - done
[2.968s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[2.969s] -- Detecting CXX compile features
[2.971s] -- Detecting CXX compile features - done
[3.047s] -- Found ament_cmake: 2.5.4 (/opt/ros/jazzy/share/ament_cmake/cmake)
[4.442s] -- Found Python3: /usr/bin/python3 (found version "3.12.3") found components: Interpreter 
[5.047s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[6.074s] -- Found ament_lint_auto: 0.17.3 (/opt/ros/jazzy/share/ament_lint_auto/cmake)
[6.828s] -- Configuring done (6.7s)
[6.904s] -- Generating done (0.1s)
[6.943s] -- Build files have been written to: /home/rens/linorobot2_ws/build/micro_ros_setup
[6.983s] Invoked command in '/home/rens/linorobot2_ws/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/rens/linorobot2_ws/install/linorobot2_navigation:/home/rens/linorobot2_ws/install/linorobot2_description:/home/rens/linorobot2_ws/install/linorobot2_base:/home/rens/linorobot2_ws/install/linorobot2:/opt/ros/jazzy /usr/bin/cmake /home/rens/linorobot2_ws/src/micro_ros_setup -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/rens/linorobot2_ws/install/micro_ros_setup
[6.992s] Invoking command in '/home/rens/linorobot2_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/rens/linorobot2_ws/install/linorobot2_navigation:/home/rens/linorobot2_ws/install/linorobot2_description:/home/rens/linorobot2_ws/install/linorobot2_base:/home/rens/linorobot2_ws/install/linorobot2:/opt/ros/jazzy /usr/bin/cmake --build /home/rens/linorobot2_ws/build/micro_ros_setup -- -j4 -l4
[7.331s] Invoked command in '/home/rens/linorobot2_ws/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/rens/linorobot2_ws/install/linorobot2_navigation:/home/rens/linorobot2_ws/install/linorobot2_description:/home/rens/linorobot2_ws/install/linorobot2_base:/home/rens/linorobot2_ws/install/linorobot2:/opt/ros/jazzy /usr/bin/cmake --build /home/rens/linorobot2_ws/build/micro_ros_setup -- -j4 -l4
[7.333s] Invoking command in '/home/rens/linorobot2_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/rens/linorobot2_ws/install/linorobot2_navigation:/home/rens/linorobot2_ws/install/linorobot2_description:/home/rens/linorobot2_ws/install/linorobot2_base:/home/rens/linorobot2_ws/install/linorobot2:/opt/ros/jazzy /usr/bin/cmake --install /home/rens/linorobot2_ws/build/micro_ros_setup
[7.392s] -- Install configuration: ""
[7.397s] -- Execute custom install script
[7.404s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup
[7.477s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup
[7.576s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh
[7.642s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv
[7.720s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh
[7.795s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv
[7.874s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash
[7.947s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh
[8.040s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh
[8.115s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv
[8.197s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/package.dsv
[8.280s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup
[8.358s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake
[8.455s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake
[8.532s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/share/micro_ros_setup/package.xml
[8.674s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/create_ws.sh
[8.816s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/create_agent_ws.sh
[8.919s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/create_firmware_ws.sh
[8.995s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/configure_firmware.sh
[9.198s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/flash_firmware.sh
[9.348s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/build_firmware.sh
[9.493s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/build_agent.sh
[9.636s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/yaml_filter.py
[9.796s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/clean_env.sh
[9.955s] -- Symlinking: /home/rens/linorobot2_ws/install/micro_ros_setup/lib/micro_ros_setup/component
[10.120s] -- Installing: /home/rens/linorobot2_ws/install/micro_ros_setup/./config
[10.127s] -- Installing: /home/rens/linorobot2_ws/install/micro_ros_setup/./config/generate_lib
[10.128s] -- Installing: /home/rens/linorobot2_ws/install/micro_ros_setup/./config/generate_lib/generic
[10.144s] -- Installing: /home/rens/linorobot2_ws/install/micro_ros_setup/./config/generate_lib/generic/demo_toolchain.cmake
[10.145s] -- Installing: /home/rens/linorobot2_ws/install/micro_ros_setup/./config/generate_lib/generic/package.xml
